Relative_Humidity,Precipitation_mm_hr,streamflow_cfs,Soil_mm,Evapotranspiration_mm_hr
127,2,8,91,0
127,0,8,91,0
127,0,8,92,0
127,0,9,92,0
127,3,9,92,0
127,3,10,92,0
127,9,12,93,0
127,5,17,93,0
127,1,19,93,0
127,2,20,93,0
127,0,20,94,3
127,0,21,94,3
121,0,21,95,5
122,0,20,95,3
120,0,20,96,2
120,0,19,96,3
115,0,18,96,6
119,0,18,96,2
123,0,17,97,0
126,0,17,97,0
126,0,16,96,0
127,1,16,97,0
127,2,16,97,0
126,0,16,97,0
121,0,16,97,0
119,0,16,97,0
99,0,15,97,0
109,0,15,97,0
103,0,14,97,0
98,0,13,97,0
98,0,13,97,0
101,0,12,97,0
98,0,11,97,1
96,0,11,97,2
95,0,11,97,2
90,0,10,97,3
72,0,10,97,6
57,0,9,97,10
49,0,9,97,13
53,0,9,97,11
62,0,9,97,7
65,0,9,97,4
63,0,9,96,1
66,0,9,96,0
68,0,8,96,0
75,0,8,96,0
77,0,8,96,0
73,0,8,96,0
75,0,7,96,0
77,0,7,96,0
78,0,7,96,0
82,0,7,96,0
85,0,7,96,0
88,0,6,96,0
86,0,6,96,0
89,0,6,96,0
77,0,6,95,3
68,0,6,95,9
57,0,6,96,15
55,0,6,95,18
54,0,6,95,22
62,0,6,95,18
43,0,6,95,19
47,0,7,95,17
44,0,8,95,6
48,0,8,95,2
47,0,8,95,0
61,0,8,95,0
52,0,7,95,0
76,0,7,95,0
83,0,7,95,0
73,0,7,96,0
85,0,6,96,0
87,0,6,96,0
75,0,6,95,0
87,0,6,95,0
78,0,6,95,0
61,0,6,95,0
70,0,5,95,0
76,0,5,95,0
78,0,5,95,2
71,0,5,95,3
56,0,5,95,8
52,0,5,95,16
54,0,5,95,15
48,0,5,95,17
40,0,5,95,20
44,0,5,94,15
41,0,6,95,7
44,0,6,95,2
44,0,6,94,1
66,0,6,95,0
90,0,6,94,0
92,0,6,94,0
88,0,6,94,0
81,0,6,95,0
75,0,5,94,0
96,0,5,94,0
96,0,5,94,0
104,0,5,94,0
103,0,5,94,0
99,0,5,94,0
102,0,5,94,0
99,0,5,94,0
104,0,5,94,1
63,0,5,94,4
61,0,4,94,8
61,0,4,94,12
58,0,4,94,21
53,0,5,94,16
39,0,6,94,23
41,0,7,94,21
43,0,8,94,11
47,0,9,94,7
54,0,9,94,2
85,0,9,94,0
88,0,9,94,0
78,0,8,94,0
82,0,8,95,0
91,0,8,94,0
98,0,8,95,0
100,0,7,95,0
102,0,7,95,0
107,0,7,95,0
115,0,7,95,0
114,0,7,95,0
116,0,6,95,0
115,0,6,95,0
103,0,6,95,2
86,0,6,95,9
61,0,6,95,15
56,0,6,95,21
52,0,6,95,24
47,0,6,95,31
44,0,7,95,28
35,0,8,95,23
37,0,9,95,9
41,0,9,95,5
49,0,9,95,3
61,0,9,95,0
68,0,9,95,0
75,0,9,95,0
73,0,8,95,0
74,0,8,95,0
68,0,8,95,0
90,0,7,95,0
81,0,7,95,0
97,0,7,95,0
77,0,7,95,0
95,0,7,95,0
67,0,6,95,0
61,0,6,95,0
61,0,6,95,2
66,0,6,95,3
61,0,6,95,4
78,0,6,95,4
84,0,6,95,3
88,0,5,95,2
99,0,5,95,1
100,0,5,95,1
103,0,5,95,1
108,0,5,95,0
95,0,5,95,0
105,0,5,95,0
121,0,5,96,0
105,0,5,95,0
125,0,5,95,0
124,0,5,95,0
127,0,5,95,0
120,0,5,95,0
111,0,5,95,0
123,0,5,95,0
126,0,5,95,0
127,0,5,95,0
124,0,5,95,0
118,0,4,95,0
110,0,4,94,0
106,0,4,95,0
98,0,4,95,0
95,0,4,95,0
108,0,4,95,0
120,0,4,94,0
122,0,4,95,0
116,0,4,94,2
110,0,4,95,3
109,0,4,95,1
116,0,4,94,0
110,0,4,94,0
112,0,4,94,0
116,0,4,94,0
122,0,4,94,0
119,0,4,94,0
118,0,3,94,0
116,0,3,94,0
116,0,3,94,0
124,0,3,94,0
125,0,3,94,0
126,0,3,94,0
126,0,3,94,0
122,0,3,94,0
118,0,3,94,0
102,0,3,94,3
94,0,3,94,4
86,0,3,94,8
89,0,3,94,6
75,0,3,94,9
84,0,3,94,9
88,0,3,94,6
95,0,3,93,4
101,0,3,94,2
107,0,3,94,1
113,0,3,93,0
112,0,3,94,0
115,0,3,94,0
116,0,3,93,0
116,0,3,94,0
119,0,3,94,0
115,0,3,94,0
116,0,3,94,0
115,0,3,93,0
113,0,3,93,0
113,0,3,93,0
114,0,3,93,0
112,0,3,94,0
109,0,3,93,2
100,0,3,93,3
97,0,3,93,4
97,0,3,93,4
90,0,3,93,6
75,0,3,93,16
71,0,3,94,13
89,0,3,93,9
91,0,3,93,7
103,0,3,93,2
108,0,3,93,1
113,0,3,93,0
112,0,3,93,0
115,0,3,94,0
113,0,3,93,0
116,0,3,93,0
116,0,3,93,0
114,0,3,93,0
116,0,3,93,0
109,0,3,93,0
116,0,3,93,0
110,0,3,93,0
112,0,3,93,0
112,0,3,93,0
106,0,2,93,2
96,0,2,94,5
85,0,2,93,10
71,0,2,93,18
71,0,3,93,22
67,0,3,93,25
51,0,5,93,27
54,0,7,93,23
55,0,8,93,12
49,0,8,93,2
50,0,8,93,1
67,0,8,93,0
60,0,7,93,0
62,0,7,93,0
77,0,6,93,0
86,0,6,92,0
86,0,6,93,0
97,0,6,93,0
101,0,5,92,0
89,0,5,93,0
87,0,5,93,0
100,0,5,93,0
102,0,5,93,0
100,0,4,92,0
66,0,4,93,5
42,0,4,93,15
36,0,4,93,24
29,0,4,93,31
30,0,5,93,41
20,0,5,93,42
22,0,7,93,44
16,0,8,92,21
28,0,8,92,7
18,0,8,93,6
24,0,8,93,3
35,0,7,93,1
62,0,7,93,0
66,0,7,93,0
73,0,7,93,0
71,0,7,93,0
66,0,7,93,0
69,0,6,93,0
72,0,6,93,0
77,0,6,94,0
76,0,6,93,0
78,0,6,93,0
85,0,6,94,0
80,0,6,93,0
77,0,6,93,2
65,0,5,94,4
34,0,5,94,9
25,0,5,94,35
13,0,5,94,42
13,0,5,94,51
14,0,6,94,47
9,0,7,94,41
13,0,7,94,31
17,0,8,94,6
27,0,8,95,3
40,0,8,95,1
52,0,8,95,0
62,0,8,95,0
70,0,8,95,0
80,0,7,95,0
83,0,7,95,0
87,0,7,95,0
79,0,7,96,0
80,0,6,95,0
78,0,6,96,0
79,0,6,96,0
81,0,6,96,0
80,0,6,95,0
123,0,6,96,0
123,0,6,96,1
88,0,5,96,5
118,0,6,96,1
123,0,6,95,0
113,0,6,95,3
119,0,6,95,2
120,0,7,95,1
122,0,7,95,0
122,0,8,96,0
127,0,9,96,0
127,0,10,96,0
127,0,10,96,0
127,0,10,96,0
127,0,10,96,0
127,0,9,97,0
127,0,9,96,0
127,0,9,96,0
127,0,8,97,0
127,0,8,97,0
127,0,8,97,0
127,0,8,96,0
127,0,7,96,0
127,0,7,97,0
127,0,7,96,0
127,0,7,97,0
127,0,7,97,0
127,0,7,97,0
127,0,7,97,1
127,0,7,97,1
127,0,8,97,2
127,0,9,98,1
127,0,9,97,0
127,0,10,98,1
127,0,10,98,0
127,0,10,98,0
127,0,11,99,0
127,0,11,99,0
127,0,11,99,0
127,0,11,99,0
127,0,12,99,0
127,0,13,99,0
127,0,14,99,0
127,0,16,100,0
127,0,18,100,0
127,0,19,101,0
127,0,25,101,0
127,0,47,102,0
127,0,61,103,0
127,0,64,105,1
127,0,78,106,1
127,0,85,108,1
127,0,90,108,2
127,0,86,109,2
127,0,84,109,2
127,0,91,109,1
127,0,122,109,0
127,0,127,110,0
127,0,120,110,0
127,0,115,111,0
127,0,97,110,0
127,0,77,111,0
124,0,64,110,0
127,0,54,110,0
126,0,47,110,0
127,0,41,110,0
127,0,37,109,0
125,0,33,109,0
127,0,30,109,0
127,0,27,109,0
127,0,25,108,0
127,0,23,108,0
127,0,22,107,0
127,0,21,108,1
111,0,19,107,4
110,0,18,107,7
93,0,17,107,11
66,0,16,107,18
70,0,16,108,21
77,0,15,108,11
80,0,14,108,12
106,0,14,108,4
105,0,13,108,1
98,0,13,107,0
107,0,12,107,0
109,0,12,107,0
109,0,11,107,0
100,0,11,106,0
108,0,11,106,0
111,0,10,106,0
102,0,10,105,0
114,0,10,105,0
116,0,9,105,0
110,0,9,104,0
108,0,9,105,0
106,0,8,104,0
90,0,8,104,3
69,0,8,104,12
69,0,8,104,22
59,0,8,104,22
54,0,7,104,32
53,0,7,104,27
43,0,7,104,14
59,0,7,106,4
92,0,7,106,3
107,0,7,105,1
122,0,7,106,1
126,0,7,106,0
127,0,7,106,0
127,0,7,106,0
127,0,7,106,0
127,0,6,105,0
127,0,6,106,0
127,0,6,106,0
127,0,6,105,0
127,0,6,105,0
127,0,6,104,0
127,0,6,104,0
127,0,6,104,0
127,0,6,104,0
127,0,5,104,1
117,0,5,104,3
115,0,5,104,3
98,0,5,104,12
79,0,5,104,19
69,1,5,104,28
103,0,5,104,21
84,0,5,104,32
71,0,5,104,24
79,0,5,104,4
73,0,5,104,2
84,0,5,103,0
100,0,5,103,0
102,0,5,103,0
104,0,5,103,0
103,0,4,103,0
102,0,4,103,0
103,0,4,103,0
94,0,4,103,0
98,0,4,102,0
102,0,4,102,0
102,0,4,102,0
102,0,4,102,0
102,0,4,102,0
102,0,4,102,0
102,0,4,101,0
102,0,4,101,0
102,0,4,101,0
102,0,4,101,0
102,0,4,101,0
102,0,4,101,0
102,0,4,101,0
102,0,4,101,0
102,0,4,101,0
102,0,4,101,0
102,0,3,101,0
102,0,3,101,0
102,0,3,100,0
102,0,3,100,0
102,0,3,100,0
102,0,3,100,0
102,0,3,100,0
102,0,3,100,0
102,0,3,100,0
102,0,3,100,0
102,0,3,100,0
102,0,3,99,0
102,0,3,100,0
102,0,3,99,0
102,0,3,99,0
102,0,3,99,0
102,0,3,99,0
102,0,3,99,0
102,0,3,99,0
102,0,3,98,0
35,0,3,98,27
36,0,3,98,8
39,0,3,98,7
43,0,3,98,3
49,0,3,98,1
73,0,3,98,0
77,0,3,98,0
75,0,3,97,0
80,0,3,97,0
91,0,3,98,0
94,0,3,98,0
98,0,3,97,0
97,0,3,97,0
105,0,3,97,0
105,0,3,97,0
108,0,3,97,0
101,0,3,97,0
70,0,3,96,5
58,0,3,96,6
55,0,2,96,8
56,0,2,96,6
59,0,2,96,5
60,0,2,96,3
62,0,2,96,3
89,0,2,96,4
99,3,3,96,2
112,3,3,96,1
120,0,3,96,1
124,0,3,96,0
124,0,3,96,0
125,0,3,96,0
126,0,3,96,0
127,0,3,96,0
127,0,3,96,0
125,0,3,96,0
127,0,3,96,0
125,0,2,96,0
125,0,2,95,0
124,0,2,96,0
123,0,2,95,0
115,0,2,95,0
113,0,2,95,2
112,0,2,95,5
87,0,2,95,8
78,0,2,95,16
75,0,2,95,16
71,0,2,95,20
68,0,2,95,7
62,0,2,95,11
60,0,2,95,11
66,0,2,95,5
75,0,2,95,2
85,0,2,95,0
87,0,2,95,0
90,0,2,94,0
94,0,2,95,0
96,0,2,94,0
96,0,2,95,0
104,0,2,95,0
105,0,2,94,0
105,0,2,94,0
105,0,2,94,0
106,0,2,94,0
109,0,2,94,0
108,0,2,94,0
99,0,2,94,1
119,0,2,94,3
115,0,2,94,2
111,0,2,94,2
101,0,2,94,4
83,0,2,94,8
54,0,2,94,32
55,0,2,94,8
55,0,2,94,5
43,0,2,94,4
42,0,2,93,4
63,0,2,93,0
89,0,2,93,0
91,0,2,93,0
88,0,2,93,0
89,0,2,93,0
85,0,2,93,0
85,0,2,93,0
97,0,2,93,0
106,0,2,93,0
109,0,2,93,0
114,0,2,93,0
109,0,2,93,0
106,0,2,93,0
81,0,2,93,5
79,0,2,93,4
54,0,2,93,20
44,0,2,93,18
56,0,2,93,8
59,0,2,93,5
52,0,2,93,6
56,0,2,93,5
53,0,2,93,4
60,0,2,93,3
59,0,2,93,2
65,0,2,93,0
69,0,2,93,0
77,0,2,93,0
87,0,2,93,0
81,0,2,93,0
73,0,2,93,0
71,0,2,93,0
73,0,2,93,0
72,0,2,92,0
81,0,2,93,0
86,0,2,92,0
82,0,2,93,0
72,0,1,93,0
57,0,1,92,4
46,0,1,93,10
30,0,1,93,15
23,0,1,92,18
24,0,1,93,24
18,0,1,93,24
17,0,1,92,26
16,0,1,92,24
16,0,1,92,18
20,0,1,92,3
24,0,1,92,1
32,0,1,92,0
54,0,1,92,0
59,0,1,92,0
68,0,1,92,0
67,0,1,92,0
72,0,1,92,0
70,0,1,92,0
74,0,1,92,0
71,0,1,92,0
72,0,1,92,0
73,0,1,92,0
74,0,1,92,0
64,0,1,92,0
48,0,1,92,5
31,0,1,92,14
29,0,1,92,21
27,0,1,92,31
23,0,1,92,34
19,0,1,92,41
20,0,1,91,43
19,0,1,92,39
23,0,1,91,31
28,0,1,91,5
46,0,1,91,3
57,0,1,91,1
61,0,1,91,0
65,0,1,91,0
77,0,1,91,0
80,0,1,91,0
62,0,1,91,0
82,0,1,91,0
82,0,1,91,0
86,0,1,91,0
106,0,1,91,0
118,0,1,91,0
112,0,1,91,0
109,0,1,91,0
97,0,1,91,3
87,0,1,91,5
82,0,1,91,4
115,4,1,91,1
122,0,1,91,4
96,0,1,91,24
112,1,1,91,5
90,0,1,92,24
104,0,1,92,3
107,0,1,92,2
105,0,1,92,1
99,0,1,92,0
90,0,1,92,0
87,0,1,91,0
89,0,1,92,0
85,0,1,91,0
76,0,1,91,0
71,0,1,91,0
72,0,1,91,0
76,0,1,92,0
77,0,1,92,0
75,0,1,91,0
75,0,1,91,0
75,0,1,91,0
67,0,1,91,3
59,0,1,91,9
50,0,1,91,13
42,0,1,91,18
34,0,1,91,21
25,0,1,91,24
23,0,1,91,24
22,0,1,91,23
20,0,1,91,17
25,0,1,92,3
29,0,1,91,1
43,0,1,91,0
56,0,1,91,0
63,0,1,91,0
65,0,1,91,0
68,0,1,91,0
72,0,1,91,0
75,0,1,91,0
67,0,1,91,0
69,0,1,91,0
76,0,1,91,0
82,0,1,91,0
80,0,1,91,0
78,0,1,91,0
63,0,1,90,4
41,0,1,90,13
30,0,1,91,21
25,0,1,91,26
20,0,1,91,29
16,0,1,91,33
18,0,1,90,31
20,0,1,90,30
19,0,1,91,25
19,0,1,91,4
25,0,1,90,1
37,0,1,91,0
50,0,1,90,0
56,0,1,90,0
57,0,1,90,0
63,0,1,90,0
66,0,1,90,0
71,0,1,90,0
71,0,1,91,0
78,0,1,90,0
82,0,1,90,0
78,0,1,90,0
75,0,1,90,0
78,0,1,90,0
56,0,1,90,5
26,0,1,90,18
22,0,1,90,26
21,0,1,90,30
21,0,1,90,40
20,0,1,90,40
16,0,1,90,40
19,0,1,90,25
22,0,1,90,18
25,0,1,90,10
25,0,1,90,6
25,0,1,90,3
35,0,1,90,0
54,0,1,90,0
52,0,1,91,0
58,0,1,90,0
121,3,1,90,0
125,4,1,90,0
126,0,1,90,0
126,0,1,91,0
127,0,1,90,0
127,0,1,90,0
127,0,1,90,0
127,0,1,90,0
127,0,1,90,0
125,4,1,90,0
127,0,2,90,8
118,0,2,90,6
120,0,2,90,7
107,0,2,90,16
96,0,2,90,19
81,0,2,90,30
85,0,1,90,16
92,0,1,90,6
92,0,1,90,6
101,0,1,90,0
124,9,2,90,0
127,0,2,93,0
127,0,2,93,0
127,0,2,93,0
127,0,2,93,0
127,0,2,93,0
127,0,2,93,0
121,0,2,93,0
121,0,2,93,0
114,0,2,92,0
116,0,2,93,0
115,0,2,93,1
109,0,2,92,6
97,0,2,92,17
83,0,2,92,16
70,0,2,92,18
82,0,1,92,10
65,0,1,92,15
46,0,1,91,22
45,0,1,91,36
52,0,1,91,29
58,0,1,91,7
54,0,1,91,3
63,0,1,91,1
74,0,1,91,0
89,0,1,91,0
94,0,1,91,0
90,0,1,91,0
91,0,1,91,0
95,0,1,91,0
94,0,1,91,0
92,0,1,91,0
78,0,1,91,0
75,0,1,91,0
76,0,1,91,0
78,0,1,91,1
75,0,1,91,3
74,0,1,91,2
78,0,1,91,1
78,0,1,91,8
78,0,1,91,7
79,0,1,91,6
86,0,1,90,4
87,0,1,90,3
97,0,1,91,2
104,0,1,91,1
111,0,1,90,0
119,0,1,90,0
121,0,1,90,0
125,4,1,90,0
127,0,1,90,0
127,0,1,90,0
127,0,1,90,0
127,1,1,90,0
127,0,1,91,0
127,0,1,91,0
127,0,1,91,0
127,0,1,91,0
127,0,1,91,0
127,0,1,91,0
127,0,1,91,1
127,0,1,91,3
127,0,1,90,4
127,0,1,91,5
127,0,1,91,6
118,0,1,90,4
116,0,1,91,5
112,0,1,91,5
114,0,1,91,2
111,0,1,91,4
111,0,1,91,2
112,0,1,91,1
122,0,1,90,0
123,0,1,90,0
123,0,1,91,0
125,0,1,90,0
124,0,1,91,0
126,0,1,91,0
126,0,1,90,0
127,1,1,90,0
127,0,1,90,0
127,0,1,90,0
127,0,1,90,0
127,0,1,90,0
127,0,1,90,1
127,0,1,90,3
127,0,1,90,3
125,0,1,90,6
116,0,1,90,11
105,0,1,90,22
107,0,1,90,13
108,3,1,90,10
121,0,2,90,5
111,0,2,90,2
109,0,2,90,2
115,0,2,90,1
122,0,2,90,0
125,0,2,90,0
122,0,2,90,0
124,0,2,90,0
122,0,1,90,0
124,0,1,90,0
127,0,1,90,0
127,0,1,90,0
127,0,1,91,0
126,0,1,90,0
127,0,1,90,0
127,0,1,90,0
123,0,1,90,6
91,0,1,90,19
71,0,1,90,27
68,0,1,90,20
56,0,1,90,47
58,0,1,90,27
56,0,1,90,33
55,0,1,89,37
61,0,1,90,11
66,0,1,90,8
66,0,1,90,5
76,0,1,89,1
95,0,1,90,0
102,0,1,89,0
104,0,1,89,0
109,0,1,89,0
110,0,1,89,0
114,0,1,89,0
117,0,1,89,0
118,0,1,89,0
121,0,1,90,0
122,0,1,89,0
121,0,1,89,0
117,0,1,89,3
111,0,1,89,4
89,0,1,89,7
89,0,1,89,12
92,0,1,89,12
84,0,1,89,18
78,0,1,89,19
77,0,1,89,18
74,0,1,89,37
73,0,1,89,20
78,0,1,89,9
85,0,1,89,4
89,0,1,89,2
94,0,1,89,0
98,0,1,89,0
103,0,1,89,0
105,0,1,89,0
108,0,1,89,0
112,0,1,89,0
114,0,1,89,0
118,0,1,89,0
123,0,1,89,0
127,0,1,88,0
127,0,1,88,0
127,0,1,88,0
120,0,1,88,1
120,1,1,88,2
123,5,1,88,2
127,7,1,88,1
127,7,2,90,1
127,7,2,91,1
127,10,4,92,1
127,11,6,93,0
127,6,9,95,0
127,11,11,96,0
127,13,15,98,0
127,3,18,101,0
127,1,18,101,0
127,3,17,102,0
127,0,16,101,0
127,0,15,101,0
127,0,14,101,0
127,0,13,101,0
127,0,12,100,0
127,0,11,100,0
127,0,10,99,0
127,0,9,99,0
127,0,9,98,0
127,0,8,98,1
127,0,8,98,5
127,3,8,98,2
127,0,7,98,4
120,0,7,98,27
109,0,7,98,13
103,0,6,98,25
54,0,6,98,63
53,0,6,97,54
45,0,6,97,40
42,0,5,97,12
39,0,5,97,8
71,0,5,96,2
84,0,5,96,1
87,0,5,96,0
91,0,5,96,0
100,0,5,96,0
103,0,4,96,0
99,0,4,96,0
100,0,4,96,0
101,0,4,96,0
106,0,4,96,0
104,0,4,95,0
104,0,4,95,0
102,0,4,95,1
79,0,4,95,9
51,0,4,95,27
43,0,3,94,40
35,0,3,95,46
31,0,3,95,53
31,0,3,94,64
28,0,3,94,59
26,0,3,94,55
26,0,3,93,48
27,0,3,94,10
30,0,3,94,5
39,0,3,93,2
58,0,3,93,1
66,0,3,93,1
75,0,3,93,1
72,0,3,93,1
81,0,3,93,0
77,0,3,93,0
89,0,3,93,0
89,0,3,93,0
89,0,3,93,0
89,0,3,93,0
87,0,3,93,1
81,0,3,93,3
55,0,3,93,7
58,1,3,93,4
120,3,3,93,2
104,2,3,93,9
118,1,3,93,10
121,0,3,93,1
117,0,3,93,3
114,0,3,92,6
120,0,3,93,5
113,0,3,93,6
119,0,3,93,1
120,0,3,92,1
126,4,3,92,0
127,0,3,93,0
127,1,3,93,0
127,0,3,93,0
122,0,3,93,0
125,0,3,93,0
121,0,3,93,0
116,0,3,92,0
116,0,3,92,0
115,0,3,93,0
118,0,3,93,0
120,0,3,93,0
122,0,3,93,0
121,0,2,93,1
115,0,2,93,2
115,0,2,92,4
96,0,2,92,28
89,0,2,92,8
87,0,2,92,5
89,0,2,92,6
89,0,2,92,5
92,0,2,92,3
89,0,2,92,4
94,0,2,92,1
105,0,2,92,0
113,0,2,91,0
118,0,2,91,0
120,0,2,92,0
116,0,2,92,0
116,0,2,92,0
119,0,2,91,0
118,0,2,92,0
120,0,2,91,0
122,0,2,91,0
121,0,2,91,0
119,0,2,92,1
112,0,2,91,4
83,0,2,91,18
61,0,2,91,24
57,0,2,91,23
61,0,2,91,17
55,0,2,91,36
54,0,2,91,19
53,0,2,91,8
53,0,2,91,12
61,0,2,91,4
82,0,2,91,3
67,0,2,91,2
94,0,2,91,0
95,0,2,91,0
104,0,2,91,0
103,0,2,91,0
103,0,2,91,0
101,0,2,91,0
111,0,2,90,0
112,0,2,90,0
110,0,2,90,0
113,0,2,90,0
113,0,2,91,0
97,0,2,90,2
81,0,2,91,6
73,0,2,91,22
63,0,2,90,20
54,0,2,90,26
58,0,2,90,13
61,0,2,90,7
55,0,2,90,9
60,0,2,90,17
54,0,2,90,30
62,0,2,90,9
60,0,2,91,4
69,0,2,90,2
78,0,2,90,0
81,0,2,90,0
84,0,2,90,0
90,0,2,90,0
91,0,2,90,0
94,0,2,90,0
97,0,2,90,0
96,0,2,90,0
98,0,2,90,0
101,0,2,90,0
97,0,2,90,0
98,0,2,90,1
82,0,1,90,4
73,0,1,90,10
69,0,1,90,7
54,0,1,90,17
46,0,1,90,14
50,0,1,90,9
51,0,1,90,11
54,0,1,90,10
48,0,1,90,6
50,0,1,90,4
51,0,1,90,3
59,0,1,90,1
83,0,1,90,0
88,0,1,89,0
92,0,1,90,0
97,0,1,90,0
104,0,1,89,0
107,0,1,89,0
111,0,1,89,0
109,0,1,89,0
108,0,1,90,0
111,0,1,90,0
114,0,1,89,0
114,0,1,89,2
92,0,1,89,8
65,0,1,89,24
52,0,1,89,36
47,0,1,89,44
42,0,1,89,40
38,0,1,89,51
46,0,1,89,21
43,0,1,89,28
44,0,1,89,14
49,0,1,89,10
52,0,1,89,6
64,0,1,89,3
74,0,1,89,1
75,0,1,88,0
81,0,1,89,0
84,0,1,89,0
98,0,1,89,0
100,2,1,89,0
122,0,1,89,0
125,2,1,89,0
127,3,1,88,0
127,5,2,89,0
127,0,2,90,0
127,0,2,90,2
124,0,2,90,8
121,0,2,90,5
114,0,2,89,12
99,0,2,90,28
83,0,2,90,49
73,0,2,89,60
64,0,2,89,54
59,0,2,89,40
54,0,2,89,37
57,0,2,89,15
58,0,1,89,9
75,0,1,89,3
86,0,1,89,1
89,0,1,89,0
95,0,1,89,0
103,0,1,89,0
107,0,1,89,0
110,0,1,89,0
114,0,1,89,0
115,0,1,89,0
117,0,1,89,0
121,0,1,89,0
119,0,1,89,0
113,0,1,89,4
104,0,1,88,10
95,0,1,89,21
83,0,1,88,19
74,0,1,88,41
71,0,1,88,33
83,0,1,88,12
98,0,1,88,11
88,0,1,89,13
89,0,1,89,9
101,0,1,89,5
101,0,1,89,5
104,0,1,88,1
114,0,1,88,0
124,0,1,88,0
126,0,1,88,0
127,0,1,88,0
127,0,1,88,0
127,0,1,88,0
126,0,1,88,0
125,0,1,88,0
122,0,1,88,0
123,0,1,88,0
124,0,1,89,0
116,0,1,89,3
110,0,1,88,6
88,0,1,88,29
76,0,1,88,18
91,0,1,88,10
94,0,1,88,8
93,0,1,88,10
80,0,1,88,19
73,0,1,88,21
66,0,1,88,27
69,0,1,88,9
64,0,1,88,3
72,0,1,88,2
85,0,1,88,1
94,0,1,88,0
106,0,1,88,0
118,0,1,88,0
123,0,1,88,0
124,0,1,88,0
124,0,1,87,0
125,0,1,87,0
124,0,1,87,0
124,0,1,87,0
118,0,1,87,1
116,0,1,87,2
99,0,1,87,8
64,0,1,87,31
66,0,1,88,24
55,0,1,87,40
67,0,1,87,20
55,0,1,87,42
62,0,1,87,23
60,0,1,87,18
68,0,1,87,14
57,0,1,87,13
56,0,1,87,3
67,0,1,87,2
79,0,1,87,0
95,0,1,87,0
101,0,1,87,0
96,0,1,86,0
89,0,1,86,0
95,0,1,86,0
93,0,1,87,0
93,0,1,86,0
96,0,1,87,0
99,0,1,86,0
101,0,1,86,0
100,0,1,86,2
86,0,1,86,3
87,0,1,86,4
84,0,1,86,7
113,0,1,87,7
101,0,1,87,8
93,0,1,86,13
101,0,1,86,9
99,0,1,86,12
92,0,1,86,17
95,0,1,86,9
101,0,1,86,7
106,0,1,86,3
113,0,1,86,0
115,0,1,86,0
118,0,1,86,0
119,0,1,86,0
119,0,1,86,0
119,0,1,86,0
121,0,1,86,0
119,0,1,86,0
122,0,1,86,0
120,0,1,86,0
121,0,1,86,0
119,0,1,86,1
117,0,1,86,3
104,0,1,86,6
96,0,1,86,14
95,0,1,86,15
98,0,1,86,11
97,0,1,86,12
84,0,1,86,19
89,0,1,86,12
90,0,1,86,9
98,0,1,86,5
104,0,1,85,2
109,0,1,86,1
116,0,1,86,0
121,0,1,86,0
